epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,746.785,1.44978,0.97734,1.43715,0.60584,0.52423,0.52674,0.25571,1.80664,1.19648,1.80367,0.000396265,0.000396265,0.000396265
43,763.547,1.4661,0.97694,1.43883,0.60389,0.54258,0.54964,0.26211,1.81079,1.15725,1.83582,0.000389661,0.000389661,0.000389661
44,781.117,1.46746,0.99243,1.44965,0.54858,0.51564,0.54404,0.26344,1.81543,1.18019,1.83402,0.000383058,0.000383058,0.000383058
45,798.599,1.43004,0.95638,1.41862,0.54447,0.50023,0.53838,0.25826,1.82622,1.15473,1.84445,0.000376455,0.000376455,0.000376455
46,815.563,1.44831,0.97934,1.44698,0.49784,0.54524,0.53059,0.26151,1.80296,1.17335,1.82333,0.000369851,0.000369851,0.000369851
47,832.294,1.42735,0.95084,1.41488,0.5578,0.52084,0.54545,0.26973,1.79475,1.17321,1.81352,0.000363248,0.000363248,0.000363248
48,849.485,1.4149,0.93348,1.40049,0.62913,0.5233,0.54047,0.26238,1.80394,1.16647,1.81817,0.000356645,0.000356645,0.000356645
49,866.933,1.43049,0.93612,1.42038,0.54463,0.52072,0.55304,0.26913,1.79641,1.1542,1.81679,0.000350042,0.000350042,0.000350042
50,885.004,1.40888,0.93959,1.4125,0.62572,0.51645,0.54028,0.2607,1.80816,1.17056,1.83703,0.000343438,0.000343438,0.000343438
51,901.842,1.41871,0.92656,1.41062,0.52922,0.56569,0.54432,0.26455,1.81082,1.16055,1.81856,0.000336835,0.000336835,0.000336835
52,918.822,1.42186,0.93554,1.41758,0.55163,0.54373,0.53903,0.26373,1.81368,1.1583,1.82282,0.000330232,0.000330232,0.000330232
53,935.665,1.40332,0.926,1.40235,0.57023,0.51464,0.54428,0.25857,1.81395,1.12703,1.83487,0.000323628,0.000323628,0.000323628
54,952.871,1.40402,0.91644,1.41349,0.54977,0.54291,0.55551,0.26477,1.82242,1.15568,1.82576,0.000317025,0.000317025,0.000317025
55,970.498,1.39731,0.90729,1.3967,0.53234,0.54584,0.55391,0.26683,1.81547,1.15654,1.84161,0.000310422,0.000310422,0.000310422
56,988.147,1.39698,0.90131,1.39608,0.54553,0.54237,0.54976,0.26698,1.80371,1.14811,1.82008,0.000303818,0.000303818,0.000303818
57,1004.94,1.3798,0.88384,1.38966,0.56618,0.54548,0.55755,0.26968,1.80041,1.16492,1.81159,0.000297215,0.000297215,0.000297215
58,1021.94,1.39338,0.89163,1.38378,0.66933,0.50616,0.54611,0.26469,1.79894,1.1509,1.82337,0.000290612,0.000290612,0.000290612
59,1039.16,1.38076,0.88961,1.38624,0.64431,0.51316,0.53875,0.26386,1.80472,1.13733,1.84295,0.000284009,0.000284009,0.000284009
60,1056.7,1.3703,0.87596,1.38071,0.55977,0.53954,0.5465,0.26235,1.80528,1.14351,1.83702,0.000277405,0.000277405,0.000277405
61,1073.87,1.34896,0.85139,1.37881,0.65651,0.51486,0.55993,0.2688,1.80793,1.13578,1.86032,0.000270802,0.000270802,0.000270802
62,1090.8,1.36364,0.86837,1.38612,0.54034,0.52096,0.54545,0.26594,1.7762,1.11904,1.81963,0.000264199,0.000264199,0.000264199
63,1107.89,1.36642,0.87307,1.37447,0.64051,0.50103,0.53758,0.25657,1.81868,1.13377,1.85569,0.000257595,0.000257595,0.000257595
64,1135.13,1.36777,0.87148,1.38915,0.52764,0.53054,0.54203,0.26261,1.81258,1.14128,1.83623,0.000250992,0.000250992,0.000250992
65,1152.91,1.35896,0.85955,1.35884,0.62812,0.51484,0.53317,0.25738,1.81797,1.14267,1.85216,0.000244389,0.000244389,0.000244389
66,1170.14,1.36433,0.86577,1.37282,0.50721,0.52474,0.54343,0.26195,1.83647,1.14078,1.87494,0.000237785,0.000237785,0.000237785
